day,count
2025-09-19,24
2025-09-20,39
2025-09-21,65
2025-09-22,33
2025-09-23,96
2025-09-24,129
2025-09-25,144
2025-09-26,236
2025-09-27,345
2025-09-28,88
2025-09-29,760
2025-09-30,260
2025-10-01,97
2025-10-02,581
2025-10-03,218
2025-10-04,24
2025-10-05,591
2025-10-06,179
2025-10-07,15
2025-10-08,194
2025-10-09,98
2025-10-10,68
2025-10-11,152
2025-10-12,189
2025-10-13,39
2025-10-14,533
2025-10-15,297
2025-10-16,352
2025-10-17,33
2025-10-18,142
2025-10-19,377
2025-10-20,345
2025-10-21,154
2025-10-22,74
2025-10-23,481
2025-10-24,267
2025-10-25,6
2025-10-26,98
2025-10-27,138
2025-10-28,41
2025-10-29,109
2025-10-30,75
2025-10-31,139
2025-11-01,22
2025-11-02,196
2025-11-03,63
2025-11-04,153
2025-11-05,54
2025-11-06,157
2025-11-07,81
2025-11-08,78
2025-11-09,546
2025-11-10,195
2025-11-11,55
2025-11-12,188
2025-11-13,135
2025-11-14,57
2025-11-15,91
2025-11-16,293
2025-11-17,118
2025-11-18,360
2025-11-19,27
2025-11-20,150
2025-11-21,524
2025-11-22,145
2025-11-23,60
2025-11-24,93
2025-11-25,84
2025-11-26,211
2025-11-27,81
2025-11-28,141
2025-11-29,219
2025-11-30,308
2025-12-01,197
2025-12-02,58
2025-12-03,92
2025-12-04,233
2025-12-05,129
2025-12-06,136
2025-12-07,29
2025-12-08,52
2025-12-09,102
2025-12-10,48
2025-12-11,180
2025-12-12,53
2025-12-13,178
2025-12-14,361
2025-12-15,109
2025-12-16,171
2025-12-17,368
2025-12-18,52
2025-12-19,300
2025-12-20,53
2025-12-21,73
2025-12-22,54
2025-12-23,598
2025-12-24,93
2025-12-25,37
2025-12-26,26
2025-12-27,47
2025-12-28,899
2025-12-29,40
